leo                                             
 Alfa =   3.00000 Re =   400000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.08971
   0.98373  0.00335  0.05674
   0.95164  0.00986 -0.01018
   0.90799  0.01870 -0.10593
   0.85644  0.02847 -0.21227
   0.80013  0.03760 -0.29062
   0.74159  0.04545 -0.33884
   0.68280  0.05209 -0.37727
   0.62518  0.05763 -0.41254
   0.56955  0.06216 -0.45479
   0.51620  0.06574 -0.53951
   0.46483  0.06843 -0.59529
   0.41458  0.07020 -0.63351
   0.36402  0.07115 -0.68274
   0.31114  0.07102 -0.74512
   0.26662  0.06981 -0.81011
   0.22577  0.06741 -0.86638
   0.18852  0.06395 -0.91860
   0.15482  0.05953 -0.96336
   0.12461  0.05425 -0.99392
   0.09783  0.04830 -1.01937
   0.07442  0.04179 -1.02413
   0.05432  0.03491 -1.00673
   0.03748  0.02790 -0.98030
   0.02383  0.02103 -0.96858
   0.01331  0.01426 -0.87405
   0.00588  0.00806 -0.75828
   0.00146  0.00256 -0.62066
   0.00000 -0.00219  0.17660
   0.00146 -0.00636  0.99037
   0.00588 -0.01010  0.83402
   0.01331 -0.01333  0.59837
   0.02383 -0.01601  0.47452
   0.03748 -0.01844  0.36041
   0.05432 -0.02043  0.30262
   0.07442 -0.02209  0.25958
   0.09783 -0.02349  0.22616
   0.12461 -0.02467  0.19619
   0.15482 -0.02559  0.17285
   0.18852 -0.02626  0.15196
   0.22577 -0.02664  0.13316
   0.26662 -0.02666  0.11792
   0.31114 -0.02629  0.11995
   0.36402 -0.02558  0.10978
   0.41458 -0.02461  0.09073
   0.46483 -0.02301  0.09060
   0.51620 -0.02082  0.09664
   0.56955 -0.01804  0.11229
   0.62518 -0.01486  0.13210
   0.68280 -0.01157  0.15317
   0.74159 -0.00853  0.17478
   0.80013 -0.00628  0.19086
   0.85644 -0.00536  0.18934
   0.90799 -0.00569  0.16537
   0.95164 -0.00638  0.13806
   0.98373 -0.00678  0.12658
   1.00000 -0.00688  0.08971
